NO|SIDO_NAME|SIGUNGU_NAME|DONG_NAME
301|강원도|화천군|화천읍
302|강원도|화천군|
303|강원도|횡성군|갑천면
304|강원도|횡성군|강림면
305|강원도|횡성군|공근면
306|강원도|횡성군|둔내면
307|강원도|횡성군|서원면
308|강원도|횡성군|안흥면
309|강원도|횡성군|우천면
310|강원도|횡성군|청일면
311|강원도|횡성군|횡성읍
312|강원도|횡성군|
313|경기도|가평군|가평읍
314|경기도|가평군|북면
315|경기도|가평군|상면
316|경기도|가평군|설악면
317|경기도|가평군|조종면
318|경기도|가평군|청평면
319|경기도|가평군|
320|경기도|고양시|
321|경기도|고양시 덕양구|강매동
322|경기도|고양시 덕양구|고양동
323|경기도|고양시 덕양구|관산동
324|경기도|고양시 덕양구|내곡동
325|경기도|고양시 덕양구|내유동
326|경기도|고양시 덕양구|대자동
327|경기도|고양시 덕양구|대장동
328|경기도|고양시 덕양구|덕은동
329|경기도|고양시 덕양구|도내동
330|경기도|고양시 덕양구|동산동
331|경기도|고양시 덕양구|벽제동
332|경기도|고양시 덕양구|북한동
333|경기도|고양시 덕양구|삼송동
334|경기도|고양시 덕양구|선유동
335|경기도|고양시 덕양구|성사동
336|경기도|고양시 덕양구|신원동
337|경기도|고양시 덕양구|신평동
338|경기도|고양시 덕양구|오금동
339|경기도|고양시 덕양구|용두동
340|경기도|고양시 덕양구|원당동
341|경기도|고양시 덕양구|원흥동
342|경기도|고양시 덕양구|주교동
343|경기도|고양시 덕양구|지축동
344|경기도|고양시 덕양구|토당동
345|경기도|고양시 덕양구|행신동
346|경기도|고양시 덕양구|행주내동
347|경기도|고양시 덕양구|행주외동
348|경기도|고양시 덕양구|향동동
349|경기도|고양시 덕양구|현천동
350|경기도|고양시 덕양구|화전동
351|경기도|고양시 덕양구|화정동
352|경기도|고양시 덕양구|효자동
353|경기도|고양시 덕양구|
354|경기도|고양시 일산동구|마두동
355|경기도|고양시 일산동구|문봉동
356|경기도|고양시 일산동구|백석동
357|경기도|고양시 일산동구|사리현동
358|경기도|고양시 일산동구|산황동
359|경기도|고양시 일산동구|설문동
360|경기도|고양시 일산동구|성석동
361|경기도|고양시 일산동구|식사동
362|경기도|고양시 일산동구|장항동
363|경기도|고양시 일산동구|정발산동
364|경기도|고양시 일산동구|중산동
365|경기도|고양시 일산동구|지영동
366|경기도|고양시 일산동구|풍동
367|경기도|고양시 일산동구|
368|경기도|고양시 일산서구|가좌동
369|경기도|고양시 일산서구|구산동
370|경기도|고양시 일산서구|대화동
371|경기도|고양시 일산서구|덕이동
372|경기도|고양시 일산서구|법곳동
373|경기도|고양시 일산서구|일산동
374|경기도|고양시 일산서구|주엽동
375|경기도|고양시 일산서구|탄현동
376|경기도|고양시 일산서구|
377|경기도|과천시|갈현동
378|경기도|과천시|과천동
379|경기도|과천시|관문동
380|경기도|과천시|막계동
381|경기도|과천시|문원동
382|경기도|과천시|별양동
383|경기도|과천시|부림동
384|경기도|과천시|원문동
385|경기도|과천시|주암동
386|경기도|과천시|중앙동
387|경기도|과천시|
388|경기도|광명시|가학동
389|경기도|광명시|광명동
390|경기도|광명시|노온사동
391|경기도|광명시|소하동
392|경기도|광명시|옥길동
393|경기도|광명시|일직동
394|경기도|광명시|철산동
395|경기도|광명시|하안동
396|경기도|광명시|
397|경기도|광주시|경안동
398|경기도|광주시|고산동
399|경기도|광주시|곤지암읍
400|경기도|광주시|남종면
401|경기도|광주시|남한산성면
402|경기도|광주시|능평동
403|경기도|광주시|도척면
404|경기도|광주시|매산동
405|경기도|광주시|목동
406|경기도|광주시|목현동
407|경기도|광주시|문형동
408|경기도|광주시|삼동
409|경기도|광주시|송정동
410|경기도|광주시|신현동
411|경기도|광주시|쌍령동
412|경기도|광주시|양벌동
413|경기도|광주시|역동
414|경기도|광주시|장지동
415|경기도|광주시|중대동
416|경기도|광주시|직동
417|경기도|광주시|초월읍
418|경기도|광주시|추자동
419|경기도|광주시|탄벌동
420|경기도|광주시|태전동
421|경기도|광주시|퇴촌면
422|경기도|광주시|회덕동
423|경기도|광주시|
424|경기도|구리시|갈매동
425|경기도|구리시|교문동
426|경기도|구리시|사노동
427|경기도|구리시|수택동
428|경기도|구리시|아천동
429|경기도|구리시|인창동
430|경기도|구리시|토평동
431|경기도|구리시|
432|경기도|군포시|금정동
433|경기도|군포시|당동
434|경기도|군포시|당정동
435|경기도|군포시|대야미동
436|경기도|군포시|도마교동
437|경기도|군포시|둔대동
438|경기도|군포시|부곡동
439|경기도|군포시|산본동
440|경기도|군포시|속달동
441|경기도|군포시|
442|경기도|김포시|감정동
443|경기도|김포시|걸포동
444|경기도|김포시|고촌읍
445|경기도|김포시|구래동
446|경기도|김포시|대곶면
447|경기도|김포시|마산동
448|경기도|김포시|북변동
449|경기도|김포시|사우동
450|경기도|김포시|양촌읍
451|경기도|김포시|운양동
452|경기도|김포시|월곶면
453|경기도|김포시|장기동
454|경기도|김포시|통진읍
455|경기도|김포시|풍무동
456|경기도|김포시|하성면
457|경기도|김포시|
458|경기도|남양주시|금곡동
459|경기도|남양주시|다산동
460|경기도|남양주시|도농동
461|경기도|남양주시|별내동
462|경기도|남양주시|별내면
463|경기도|남양주시|삼패동
464|경기도|남양주시|수동면
465|경기도|남양주시|수석동
466|경기도|남양주시|오남읍
467|경기도|남양주시|와부읍
468|경기도|남양주시|이패동
469|경기도|남양주시|일패동
470|경기도|남양주시|조안면
471|경기도|남양주시|지금동
472|경기도|남양주시|진건읍
473|경기도|남양주시|진접읍
474|경기도|남양주시|퇴계원읍
475|경기도|남양주시|평내동
476|경기도|남양주시|호평동
477|경기도|남양주시|화도읍
478|경기도|남양주시|
479|경기도|동두천시|걸산동
480|경기도|동두천시|광암동
481|경기도|동두천시|동두천동
482|경기도|동두천시|보산동
483|경기도|동두천시|상봉암동
484|경기도|동두천시|상패동
485|경기도|동두천시|생연동
486|경기도|동두천시|송내동
487|경기도|동두천시|안흥동
488|경기도|동두천시|지행동
489|경기도|동두천시|탑동동
490|경기도|동두천시|하봉암동
491|경기도|동두천시|
492|경기도|부천시|계수동
493|경기도|부천시|고강동
494|경기도|부천시|괴안동
495|경기도|부천시|내동
496|경기도|부천시|대장동
497|경기도|부천시|도당동
498|경기도|부천시|범박동
499|경기도|부천시|삼정동
500|경기도|부천시|상동
501|경기도|부천시|소사동
502|경기도|부천시|소사본동
503|경기도|부천시|송내동
504|경기도|부천시|심곡동
505|경기도|부천시|심곡본동
506|경기도|부천시|약대동
507|경기도|부천시|여월동
508|경기도|부천시|역곡동
509|경기도|부천시|오정동
510|경기도|부천시|옥길동
511|경기도|부천시|원미동
512|경기도|부천시|원종동
513|경기도|부천시|작동
514|경기도|부천시|중동
515|경기도|부천시|춘의동
516|경기도|부천시|
517|경기도|성남시 분당구|구미동
518|경기도|성남시 분당구|궁내동
519|경기도|성남시 분당구|금곡동
520|경기도|성남시 분당구|대장동
521|경기도|성남시 분당구|동원동
522|경기도|성남시 분당구|백현동
523|경기도|성남시 분당구|분당동
524|경기도|성남시 분당구|삼평동
525|경기도|성남시 분당구|서현동
526|경기도|성남시 분당구|석운동
527|경기도|성남시 분당구|수내동
528|경기도|성남시 분당구|야탑동
529|경기도|성남시 분당구|운중동
530|경기도|성남시 분당구|율동
531|경기도|성남시 분당구|이매동
532|경기도|성남시 분당구|정자동
533|경기도|성남시 분당구|판교동
534|경기도|성남시 분당구|하산운동
535|경기도|성남시 분당구|
536|경기도|성남시 수정구|고등동
537|경기도|성남시 수정구|금토동
538|경기도|성남시 수정구|단대동
539|경기도|성남시 수정구|둔전동
540|경기도|성남시 수정구|복정동
541|경기도|성남시 수정구|사송동
542|경기도|성남시 수정구|산성동
543|경기도|성남시 수정구|상적동
544|경기도|성남시 수정구|수진동
545|경기도|성남시 수정구|시흥동
546|경기도|성남시 수정구|신촌동
547|경기도|성남시 수정구|신흥동
548|경기도|성남시 수정구|심곡동
549|경기도|성남시 수정구|양지동
550|경기도|성남시 수정구|오야동
551|경기도|성남시 수정구|창곡동
552|경기도|성남시 수정구|태평동
553|경기도|성남시 수정구|
554|경기도|성남시 중원구|갈현동
555|경기도|성남시 중원구|금광동
556|경기도|성남시 중원구|도촌동
557|경기도|성남시 중원구|상대원동
558|경기도|성남시 중원구|성남동
559|경기도|성남시 중원구|여수동
560|경기도|성남시 중원구|은행동
561|경기도|성남시 중원구|중앙동
562|경기도|성남시 중원구|하대원동
563|경기도|성남시 중원구|
564|경기도|수원시 권선구|고색동
565|경기도|수원시 권선구|곡반정동
566|경기도|수원시 권선구|구운동
567|경기도|수원시 권선구|권선동
568|경기도|수원시 권선구|금곡동
569|경기도|수원시 권선구|당수동
570|경기도|수원시 권선구|대황교동
571|경기도|수원시 권선구|서둔동
572|경기도|수원시 권선구|세류동
573|경기도|수원시 권선구|오목천동
574|경기도|수원시 권선구|입북동
575|경기도|수원시 권선구|장지동
576|경기도|수원시 권선구|탑동
577|경기도|수원시 권선구|평동
578|경기도|수원시 권선구|평리동
579|경기도|수원시 권선구|호매실동
580|경기도|수원시 권선구|
581|경기도|수원시 영통구|망포동
582|경기도|수원시 영통구|매탄동
583|경기도|수원시 영통구|신동
584|경기도|수원시 영통구|영통동
585|경기도|수원시 영통구|원천동
586|경기도|수원시 영통구|이의동
587|경기도|수원시 영통구|하동
588|경기도|수원시 영통구|
589|경기도|수원시 장안구|상광교동
590|경기도|수원시 장안구|송죽동
591|경기도|수원시 장안구|연무동
592|경기도|수원시 장안구|영화동
593|경기도|수원시 장안구|율전동
594|경기도|수원시 장안구|이목동
595|경기도|수원시 장안구|정자동
596|경기도|수원시 장안구|조원동
597|경기도|수원시 장안구|천천동
598|경기도|수원시 장안구|파장동
599|경기도|수원시 장안구|하광교동
600|경기도|수원시 장안구|
601|경기도|수원시 팔달구|고등동
602|경기도|수원시 팔달구|교동
603|경기도|수원시 팔달구|구천동
604|경기도|수원시 팔달구|남수동
605|경기도|수원시 팔달구|남창동
606|경기도|수원시 팔달구|매교동
607|경기도|수원시 팔달구|매산로1가
608|경기도|수원시 팔달구|매산로2가
609|경기도|수원시 팔달구|매산로3가
610|경기도|수원시 팔달구|매향동
611|경기도|수원시 팔달구|북수동
612|경기도|수원시 팔달구|신풍동
613|경기도|수원시 팔달구|영동
614|경기도|수원시 팔달구|우만동
615|경기도|수원시 팔달구|인계동
616|경기도|수원시 팔달구|장안동
617|경기도|수원시 팔달구|중동
618|경기도|수원시 팔달구|지동
619|경기도|수원시 팔달구|팔달로1가
620|경기도|수원시 팔달구|팔달로2가
621|경기도|수원시 팔달구|팔달로3가
622|경기도|수원시 팔달구|화서동
623|경기도|수원시 팔달구|
624|경기도|시흥시|거모동
625|경기도|시흥시|계수동
626|경기도|시흥시|과림동
627|경기도|시흥시|광석동
628|경기도|시흥시|군자동
629|경기도|시흥시|금이동
630|경기도|시흥시|논곡동
631|경기도|시흥시|능곡동
632|경기도|시흥시|대야동
633|경기도|시흥시|도창동
634|경기도|시흥시|매화동
635|경기도|시흥시|목감동
636|경기도|시흥시|무지내동
637|경기도|시흥시|물왕동
638|경기도|시흥시|미산동
639|경기도|시흥시|방산동
640|경기도|시흥시|배곧동
641|경기도|시흥시|산현동
642|경기도|시흥시|신천동
643|경기도|시흥시|안현동
644|경기도|시흥시|월곶동
645|경기도|시흥시|은행동
